TransactionID,StoreID,ProductID,CustomerID,SalesPersonID,DateOfSale,QuantitySold,UnitPrice,TotalSale,Discount,FinalPrice,PaymentMethod,Warranty,CustomerSatisfaction,ReturnStatus
1028,B2,M01,1952.0,16.0,2023-06-30,1,777.14,777.14,3.01,774.13,Cash,Yes,5,Not Returned
1029,D4,M04,1645.0,13.0,2023-04-05,7,812.42,5686.94,11.88,5675.0599999999995,Mobile Payment,No,3,Not Returned
1030,D4,M04,1795.0,18.0,2023-04-09,5,810.66,4053.2999999999997,7.62,4045.68,Cash,No,1,Returned
1031,A1,M04,1027.0,10.0,2023-07-07,6,182.09,1092.54,,1073.1399999999999,Credit Card,No,5,Not Returned
1032,A1,M01,1619.0,,2023-04-26,7,544.98,3814.86,16.84,3798.02,Cash,Yes,4,Returned
1033,D4,M01,1555.0,16.0,2023-07-10,3,151.8,455.40000000000003,16.77,438.63000000000005,Mobile Payment,No,3,Not Returned
1034,B2,M01,1339.0,11.0,2023-09-10,3,594.58,1783.7400000000002,,1774.3700000000003,Cash,Yes,5,Returned
1035,B2,M03,,,2023-06-10,5,497.38,2486.9,8.3,2478.6,Credit Card,Yes,5,Not Returned
1036,A1,M01,1957.0,10.0,2023-09-13,6,898.93,5393.58,5.47,5388.11,Mobile Payment,Yes,5,Returned
1037,D4,M01,1330.0,18.0,2023-11-19,9,415.82,3742.38,1.13,3741.25,Credit Card,Yes,3,Not Returned
1038,A1,M01,1639.0,18.0,2023-05-08,5,205.36,1026.8000000000002,17.29,1009.5100000000002,Mobile Payment,Yes,3,Returned
1039,A1,M03,1505.0,11.0,2023-01-18,1,228.69,228.69,16.26,212.43,Mobile Payment,Yes,2,Not Returned
1040,C3,M01,1347.0,16.0,2023-10-08,4,785.36,3141.44,19.99,3121.4500000000003,Cash,No,4,Returned
1041,C3,M04,1472.0,19.0,2023-08-11,5,656.4,3282.0,19.93,3262.07,Cash,Yes,1,Not Returned
1042,C3,M01,,12.0,2023-02-23,5,191.01,955.05,11.11,943.9399999999999,Credit Card,No,5,Returned
1043,B2,M04,1189.0,16.0,2023-02-27,7,175.7,1229.8999999999999,15.38,1214.5199999999998,Cash,No,2,Returned
1044,D4,M04,1224.0,19.0,2023-11-19,4,730.87,2923.48,18.9,2904.58,Cash,Yes,1,Not Returned
1045,D4,M04,1384.0,18.0,2023-12-26,1,165.49,165.49,16.99,148.5,Mobile Payment,No,2,Not Returned
1046,D4,M03,1376.0,,2023-06-23,5,839.67,4198.349999999999,4.95,4193.4,Cash,No,3,Returned
1047,D4,M03,1282.0,10.0,2023-10-07,7,735.62,5149.34,9.01,5140.33,Mobile Payment,No,5,Not Returned
1048,C3,M03,1957.0,11.0,2023-04-24,6,173.21,1039.26,2.58,1036.68,Mobile Payment,No,1,Returned
1049,B2,M01,1632.0,10.0,2023-10-15,5,176.35,881.75,19.08,862.67,Mobile Payment,Yes,1,Returned
1050,B2,M04,1627.0,14.0,2023-12-08,4,987.98,3951.92,,3939.8,Credit Card,No,1,Returned
1051,C3,M03,1972.0,14.0,2023-05-31,2,436.84,873.68,4.57,869.1099999999999,Credit Card,Yes,1,Not Returned
1052,B2,M03,1744.0,,2023-05-07,4,433.58,1734.32,13.43,1720.8899999999999,Credit Card,No,1,Returned
1053,C3,M01,1258.0,18.0,2023-06-04,3,831.52,2494.56,12.36,2482.2,Mobile Payment,No,2,Returned
1054,D4,M03,1358.0,18.0,2023-09-30,1,952.52,952.52,7.16,945.36,Credit Card,Yes,5,Not Returned
1055,C3,M01,1709.0,12.0,2023-04-14,8,987.4,7899.2,2.27,7896.929999999999,Credit Card,No,3,Not Returned
1056,D4,M02,1455.0,12.0,2023-10-26,5,778.04,3890.2,13.43,3876.77,Cash,No,3,Not Returned
1057,D4,M03,1410.0,12.0,2023-09-03,4,438.63,1754.52,10.41,1744.11,Credit Card,No,3,Not Returned
1058,A1,M02,1648.0,13.0,2023-06-25,8,175.15,1401.2,15.45,1385.75,Credit Card,Yes,3,Returned
1059,C3,M01,1317.0,17.0,2023-02-08,7,799.43,5596.009999999999,10.4,5585.61,Mobile Payment,No,2,Returned
1060,A1,M04,1676.0,15.0,2023-06-19,2,602.56,1205.12,17.04,1188.08,Mobile Payment,Yes,4,Returned
1061,C3,M03,1224.0,,2023-09-04,1,481.8,481.8,11.04,470.76,Mobile Payment,No,5,Returned
1062,C3,M01,1818.0,10.0,2023-01-26,4,915.72,3662.88,11.22,3651.6600000000003,Mobile Payment,Yes,1,Not Returned
1063,A1,M04,1233.0,17.0,2023-12-21,8,200.08,1600.64,17.53,1583.1100000000001,Mobile Payment,Yes,4,Returned
1064,A1,M04,1683.0,13.0,2023-11-02,2,543.36,1086.72,8.07,1078.65,Mobile Payment,No,3,Returned
1065,C3,M02,1663.0,10.0,2023-01-13,3,110.22,330.65999999999997,2.68,327.97999999999996,Credit Card,No,4,Not Returned
1066,B2,M01,1974.0,17.0,2023-11-12,1,521.79,521.79,0.58,521.2099999999999,Mobile Payment,Yes,5,Returned
1067,D4,M04,,13.0,2023-11-09,1,150.67,150.67,15.1,135.57,Mobile Payment,Yes,1,Returned
1068,A1,M03,1373.0,15.0,2023-02-05,3,206.94,620.8199999999999,12.41,608.41,Cash,No,1,Returned
1069,D4,M03,1671.0,17.0,2023-06-22,5,205.77,1028.8500000000001,14.08,1014.7700000000001,Credit Card,Yes,5,Returned
1070,B2,M02,1607.0,,2023-01-20,3,684.29,2052.87,4.26,2048.6099999999997,Credit Card,No,5,Returned
1071,B2,M04,1471.0,12.0,2023-11-17,1,771.44,771.44,2.73,768.71,Credit Card,No,3,Returned
1072,B2,M01,1232.0,18.0,2023-09-21,1,625.03,625.03,0.29,624.74,Mobile Payment,No,1,Not Returned
1073,A1,M03,1691.0,12.0,2023-05-22,8,965.96,7727.68,7.01,7720.67,Mobile Payment,No,4,Not Returned
1074,B2,M04,1112.0,18.0,2023-05-23,2,437.38,874.76,11.8,862.96,Mobile Payment,Yes,2,Returned
1075,A1,M04,1829.0,11.0,2023-04-02,3,357.14,1071.42,,1063.5800000000002,Cash,No,2,Returned
1076,B2,M02,1496.0,11.0,2023-12-20,2,881.74,1763.48,8.75,1754.73,Mobile Payment,Yes,5,Not Returned
1077,D4,M03,,11.0,2023-11-18,3,301.24,903.72,18.08,885.64,Cash,No,3,Returned
1078,D4,M03,1563.0,15.0,2023-10-15,7,966.9,6768.3,6.97,6761.33,Credit Card,Yes,2,Returned
1079,C3,M01,1267.0,12.0,2023-08-03,1,110.94,110.94,10.28,100.66,Mobile Payment,No,1,Returned
1080,D4,M03,1509.0,18.0,2023-12-08,8,972.89,7783.12,15.67,7767.45,Cash,Yes,5,Not Returned
1081,C3,M01,1806.0,,2023-02-20,2,138.84,277.68,7.93,269.75,Cash,Yes,4,Returned
1082,D4,M03,1385.0,10.0,2023-06-02,3,902.03,2706.09,12.44,2693.65,Mobile Payment,No,5,Not Returned
1083,A1,M02,,13.0,2023-07-05,9,574.93,5174.37,17.25,5157.12,Credit Card,No,4,Returned
1084,D4,M03,1112.0,10.0,2023-03-04,7,993.67,6955.69,18.99,6936.7,Credit Card,No,5,Not Returned
1085,C3,M01,1612.0,14.0,2023-07-09,4,166.42,665.68,2.94,662.7399999999999,Credit Card,No,5,Not Returned
1086,C3,M01,1624.0,13.0,2023-05-05,5,598.47,2992.3500000000004,18.53,2973.82,Cash,Yes,5,Returned
1087,B2,M02,1951.0,17.0,2023-05-30,2,972.37,1944.74,9.84,1934.9,Cash,No,4,Not Returned
1088,A1,M03,1080.0,17.0,2023-11-10,8,570.79,4566.32,,4561.16,Cash,Yes,4,Returned
1089,D4,M03,1698.0,,2023-02-27,4,666.46,2665.84,9.18,2656.6600000000003,Cash,Yes,5,Not Returned
1090,B2,M02,1112.0,12.0,2023-12-08,9,726.17,6535.53,,6515.929999999999,Credit Card,No,2,Returned
1091,D4,M03,1001.0,10.0,2023-11-01,5,509.09,2545.45,9.85,2535.6,Mobile Payment,Yes,3,Returned
1092,D4,M03,1641.0,10.0,2023-06-29,9,664.8,5983.2,6.58,5976.62,Cash,Yes,3,Not Returned
1093,B2,M01,1219.0,12.0,2023-06-19,4,625.88,2503.52,12.67,2490.85,Cash,Yes,3,Returned
1094,B2,M03,1565.0,15.0,2023-11-22,5,911.04,4555.2,4.8,4550.4,Credit Card,Yes,4,Returned
1095,B2,M03,1854.0,16.0,2023-09-28,9,140.9,1268.1000000000001,1.52,1266.5800000000002,Mobile Payment,No,4,Not Returned
1096,B2,M02,1996.0,15.0,2023-02-23,8,352.87,2822.96,2.58,2820.38,Mobile Payment,No,2,Returned
1097,B2,M02,1735.0,15.0,2023-04-11,3,955.37,2866.11,2.56,2863.55,Credit Card,No,3,Returned
1098,D4,M04,1224.0,15.0,2023-09-21,1,901.24,901.24,,898.2,Credit Card,No,3,Not Returned
1099,B2,M01,1384.0,12.0,2023-02-22,3,510.09,1530.27,2.78,1527.49,Mobile Payment,Yes,5,Not Returned
1100,A1,M03,1402.0,15.0,2023-03-01,4,658.12,2632.48,,2619.66,Cash,Yes,4,Returned
